Id,SalePrice
1461,100149.50070131861
1462,166116.10146225512
1463,179086.71839397552
1464,194565.66404986766
1465,203735.01039969304
1466,177482.40410685504
1467,188926.6764181567
1468,165994.64320684143
1469,191920.9793160559
1470,108600.63957411854
1471,224699.73342117376
1472,120655.82616624923
1473,106163.03989577724
1474,156852.2169927772
1475,117599.53870467527
1476,346834.35322353116
1477,253807.9803870943
1478,289797.9843046259
1479,275813.46764045313
1480,416964.04886595055
1481,293950.45415270294
1482,229903.40771732654
1483,188151.56501908612
1484,184116.12148793193
1485,204461.7622499891
1486,217339.416256572
1487,290007.92926447315
1488,250679.6345018443
1489,186496.11847466987
1490,217117.9797929997
1491,208420.73618496594
1492,90187.2083196718
1493,201482.96617736702
1494,296882.5746937423
1495,292089.2627323625
1496,239674.75804848887
1497,191017.94507092156
1498,178941.86045271682
1499,177640.55957092217
1500,168301.46910127997
1501,203788.4569327737
1502,173391.59058100765
1503,273978.69529682107
1504,252996.8230321078
1505,228349.52340991434
1506,193294.1415599737
1507,237664.19716102595
1508,204725.9254804348
1509,161010.01933515293
1510,144715.3262434561
1511,143394.7494841203
1512,162106.3002870673
1513,166390.4291310414
1514,189820.377524024
1515,239595.86657821608
1516,171502.65419105056
1517,165811.01638394676
1518,139302.3837769347
1519,244107.3718720047
1520,127516.8425064258
1521,132807.2330427306
1522,189727.1522881136
1523,90377.96912979975
1524,97770.41362579295
1525,103879.82865833642
1526,103092.01755652518
1527,90697.93590275955
1528,149855.61509663134
1529,134575.52776655497
1530,195644.73638573417
1531,143194.97011250362
1532,95908.90415446449
1533,120160.583847887
1534,129731.64313073375
1535,164541.39175299334
1536,105208.83808504941
1537,54421.71632650925
1538,188678.05953644833
1539,227689.02635799383
1540,146681.0129566238
1541,148968.40990496508
1542,149053.1444721307
1543,192824.59886071866
1544,58374.79527062352
1545,115919.0055195418
1546,144218.13370599027
1547,134138.4650900344
1548,133919.58380891208
1549,122047.58228224132
1550,138664.61776451382
1551,125445.32681882859
1552,143528.1382451175
1553,166132.57728511118
1554,119368.12057927821
1555,167930.92499407788
1556,102518.49395885423
1557,164752.2745080829
1558,103269.74714993418
1559,109792.87941713922
1560,154210.9248761622
1561,178655.35691440362
1562,105215.8333087085
1563,106573.46381256974
1564,169755.75402685732
1565,149244.83803760062
1566,248774.10192309238
1567,70831.65309723082
1568,225229.23776954005
1569,111544.325523042
1570,128559.89411985816
1571,95165.41448102996
1572,135167.8069927335
1573,252206.5816505876
1574,135325.62276633165
1575,234224.45579601813
1576,264247.84924449597
1577,189877.37542415166
1578,154967.9187268844
1579,134631.95154594432
1580,201424.405771786
1581,149422.64361078967
1582,114277.86755276925
1583,309109.68765150884
1584,232704.1682779406
1585,167507.70566433226
1586,53377.36552178941
1587,94212.77135826193
1588,139186.09112396103
1589,94778.65235505195
1590,125077.11274009396
1591,66481.8752225904
1592,109878.14118092146
1593,117597.752386273
1594,148820.93333614
1595,130098.25567126472
1596,241832.42031780595
1597,191421.90576271655
